Name,Funding Details
Citrea,['Seed\n21 Feb 2024\nRaised\n$ 2.70M\nInvestors:\nGalaxy\nLead\nDelphi Digital\nJames Parillo\nEric Wall\n+3']
Matr-1-X,"['Strategic\n21 Feb 2024\nRaised\nN/A\nInvestors:\nAnimoca Brands', 'Undisclosed\n12 Dec 2023\nRaised\nN/A\nInvestors:\nOKX Ventures', 'Extended Series A\n23 Nov 2023\nRaised\n$ 10.00M\nInvestors:\nSevenX Ventures\nLead\nFolius Ventures\nLead\nABCDE\nFind Satoshi Lab\n+2', 'Series A\n19 Sep 2022\nRaised\n$ 10.00M\nInvestors:\nHashKey Capital\nAmber Group\nSevenX Ventures\nHana Financial Investment']"
Inco-Network,['Seed\n21 Feb 2024\nRaised\n$ 4.50M\nInvestors:\n1kx\nLead\nCircle\nPolygon Ventures\nAlliance DAO\n+3']
Init-Capital,['Seed\n21 Feb 2024\nRaised\n$ 3.00M\nInvestors:\nElectric Capital\nMirana Ventures\nRobot Ventures\nMaelstrom\n+5']
Monkey-Tilt,['Undisclosed\n21 Feb 2024\nRaised\n$ 21.00M\nInvestors:\nPolychain Capital\nHack VC\nFolius Ventures\nPokerGO\n+2']
Zero-Lend,['Seed\n21 Feb 2024\nValuation\n$ 25M\nRaised\n$ 3.00M\nInvestors:\nGBV Capital\nMorningstar Ventures\nGenblock Capital\nBlockchain Founders Fund\n+17']
Degen-Base,['Angel\n20 Feb 2024\nRaised\n$ 1.46M\nInvestors:\n1confirmation\nLead']
Jade-98,['Undisclosed\n20 Feb 2024\nRaised\nN/A\nInvestors:\nx21 Digital\nRarestone Capital\nCSP DAO\nDutch Crypto Investors\n+4']
Meso-Network,"['Seed\n20 Feb 2024\nRaised\n$ 9.50M\nInvestors:\nSolana Ventures\nLead\nRibbit Capital\nLead\n6th Man Ventures\nCanonical Crypto\n+3', 'Undisclosed\n11 May 2023\nRaised\nN/A\nInvestors:\nSolana Ventures\n6th Man Ventures\nRibbit Capital\nAnand Iyer\n+3']"
Nest-Wallet,['Seed\n20 Feb 2024\nRaised\n$ 3.60M\nInvestors:\nAscensive Assets\ngumi Cryptos\nOrangeDAO\nSebastien Borget\n+8']
Crystal-Fun,['Seed\n20 Feb 2024\nRaised\n$ 5.00M\nInvestors:\nKuCoin Ventures\nWaterdrip Capital\nComma3 Ventures\nStratified Capital\n+5']
Tornado-Blast,['Strategic\n19 Feb 2024\nRaised\nN/A\nInvestors:\nMorningstar Ventures\nAtka\nFisher8 Capital\nPunk DAO\n+5']
Beoble,"['Strategic\n7 Mar 2024\nRaised\nN/A\nInvestors:\nAnimoca Brands', 'Seed\n19 Feb 2024\nRaised\n$ 5.00M\nPrice:\n$ 0.035\nROI:\n1.48x  +47.6%\nInvestors:\nHashKey Capital\n+10\nATH ROI:\n13.16x  +1,216%', 'Strategic\n15 Jan 2024\nRaised\nN/A\nInvestors:\nDWF Labs', 'Pre-Seed\n15 Nov 2023\nRaised\n$ 2.00M\nPrice:\n$ 0.015\nROI:\n3.44x  +244.5%\nInvestors:\nHashKey Capital\n+5\nATH ROI:\n30.71x  +2,971%']"
Altlayer,"['Strategic\n19 Feb 2024\nRaised\n$ 14.40M\nInvestors:\nPolychain Capital\nLead\nHack VC\nLead', 'Undisclosed\n4 Aug 2023\nRaised\nN/A\nInvestors:\nBinance Labs', 'Seed\n17 Feb 2022\nRaised\n$ 7.20M\nInvestors:\nPolychain Capital\nLead\nJump Crypto\nLead\nBreyer Capital\nLead\nBalaji Srinivasan\n+7']"
Silencio,['Pre-Seed\n18 Feb 2024\nRaised\n$ 1.00M\nInvestors:\nBorderless Capital\nLead\nMoonrock Capital\nMaster Ventures\nCogitent Ventures']
Dephy,['Seed\n16 Feb 2024\nValuation\n$ 40M\nRaised\nN/A\nInvestors:\nIoTeX\nWaterdrip Capital\nForesight Ventures\nPAKA\n+5']
Ethena,"['Strategic\n16 Feb 2024\nValuation\n$ 300M\nRaised\n$ 14.00M\nInvestors:\nDragonFly Capital\nLead\nMaelstrom\nLead', 'Undisclosed\n15 Feb 2024\nRaised\nN/A\nInvestors:\nBinance Labs', 'Seed\n17 Jul 2023\nRaised\n$ 6.50M\nInvestors:\nDragonFly Capital\nLead\nDelphi Digital\nOKX Ventures\nCMT Digital\n+13']"
Metropolis,['Undisclosed\n15 Feb 2024\nRaised\n$ 1.20M\nInvestors:\nProtocol Labs\nOutlier Ventures\nCluster Capital\nZephyrus Capital\n+5']
Nodekit,"['Undisclosed\n15 Feb 2024\nRaised\nN/A\nInvestors:\nAndreessen Horowitz (a16z)', 'Pre-Seed\n13 Dec 2023\nRaised\n$ 1.20M\nInvestors:\nBorderless Capital\nLead\nPolygon Ventures\nBlizzard Fund\nWormhole']"
Sphinx,['Undisclosed\n15 Feb 2024\nRaised\n$ 2.00M\nInvestors:\nNascent\nVolt Capital\nArchetype Ventures']
Drosera,['Pre-Seed\n15 Feb 2024\nRaised\n$ 1.50M\nInvestors:\nAnagram Crypto\nLead\nArrington XRP Capital\nSantiago R. Santos\nInfinite Capital\n+12']
Concrete,['Undisclosed\n15 Feb 2024\nRaised\n$ 7.50M\nInvestors:\nHashed Fund\nLead\nTribe Capital\nLead\nHypersphere Ventures\nAvalanche Foundation\n+9']
Exverse,['Undisclosed\n15 Feb 2024\nRaised\n$ 3.00M\nPrice:\n$ 0.032\nROI:\n3.10x  +210.1%\nInvestors:\nKuCoin Labs\n+5\nATH ROI:\n8.97x  +796.9%']
Witness,['Seed\n15 Feb 2024\nRaised\n$ 3.50M\nInvestors:\nHaun Ventures\nLead\nCoinbase Ventures\nTim Beiko\nTarun Chitra\n+4']
Lava-Network,['Seed\n15 Feb 2024\nRaised\n$ 15.00M\nInvestors:\nHashKey Capital\nLead\nJump Capital\nLead\nTribe Capital\nLead\nAlliance DAO\n+17']
Helika,"['Series A\n15 Feb 2024\nRaised\n$ 8.00M\nInvestors:\nPantera Capital\nLead\nSfermion\nDiagram Ventures\nSparkle Ventures\n+2', 'Seed\n1 Mar 2023\nRaised\n$ 4.00M\nInvestors:\nDiagram Ventures\nLead\nSfermion\nFenbushi Capital\nBig Brain Holdings\n+3']"
Meta-Street,"['Undisclosed\n15 Feb 2024\nRaised\n$ 25.00M\nInvestors:\ngmoney\nMr. Block\nDCF God\ndingaling\n+2', 'Undisclosed\n13 Oct 2022\nRaised\n$ 10.00M\nInvestors:\nDragonFly Capital\nDigital Currency Group (DCG)\nNascent\nMirana Ventures\n+9', 'Seed\n8 Feb 2022\nRaised\n$ 14.00M\nInvestors:\nDragonFly Capital\nLead\nAnimoca Brands\nCMT Digital\nNascent\n+12']"
Shogun,['Undisclosed\n15 Feb 2024\nRaised\nN/A\nInvestors:\nBinance Labs']
Nfprompt,"['Undisclosed\n15 Feb 2024\nRaised\nN/A\nInvestors:\nBinance Labs', 'Seed\n12 Jun 2023\nValuation\n$ 60M\nRaised\nN/A\nInvestors:\nN/A']"
Ethena,"['Strategic\n16 Feb 2024\nValuation\n$ 300M\nRaised\n$ 14.00M\nInvestors:\nDragonFly Capital\nLead\nMaelstrom\nLead', 'Undisclosed\n15 Feb 2024\nRaised\nN/A\nInvestors:\nBinance Labs', 'Seed\n17 Jul 2023\nRaised\n$ 6.50M\nInvestors:\nDragonFly Capital\nLead\nDelphi Digital\nOKX Ventures\nCMT Digital\n+13']"
Overworld,"['Seed\n14 Feb 2024\nRaised\n$ 10.00M\nInvestors:\nHashed Fund\nLead\nHashKey Capital\nThe Spartan Group\nBig Brain Holdings\n+5', 'Undisclosed\n6 Feb 2023\nRaised\n$ 2.50M\nInvestors:\nXterio']"
Architect,"['Undisclosed\n14 Feb 2024\nRaised\n$ 12.00M\nInvestors:\nBlocktower Capital\nLead\nTioga Capital Partners\nLead\nCoinbase Ventures\nCMT Digital\n+6', 'Undisclosed\n20 Jan 2023\nRaised\n$ 5.00M\nInvestors:\nCoinbase Ventures\nLead\nCircle\nLead\nSV Angel\n3K VC\n+2']"
Ultiverse,"['Undisclosed\n14 Feb 2024\nValuation\n$ 150M\nRaised\n$ 4.00M\nPrice:\n$ 0.01\nTokens For Sale:\n400,000,000\nInvestors:\nAnimoca Brands\n+12\nLock-up:\n6,66% at TGE, then 93,33% linear over...', 'Undisclosed\n25 Mar 2022\nRaised\n$ 5.00M\nPrice:\n$ 0.01\nTokens For Sale:\n500,000,000\nInvestors:\nBinance Labs\nLock-up:\n6,66% at TGE, then 93,33% linear over...', 'Seed\n18 Mar 2022\nValuation\n$ 50M\nRaised\n$ 4.50M\nPrice:\n$ 0.005\nTokens For Sale:\n900,000,000\nInvestors:\nBinance Labs\n+3\nLock-up:\n4,16% at TGE, then 95,84% linear over...']"
Fordefi,"['Undisclosed\n13 Feb 2024\nRaised\n$ 10.00M\nInvestors:\nElectric Capital\nLead\nAlchemy\nPaxos', 'Seed\n8 Nov 2022\nRaised\n$ 18.00M\nInvestors:\nLightspeed Venture Partners\nLead\nPantera Capital\nDigital Currency Group (DCG)\nElectric Capital\n+8']"
Watches,['Pre-Seed\n13 Feb 2024\nRaised\n$ 1.90M\nInvestors:\nLemniscap\nLead\nBig Brain Holdings\nBuilder Capital\nMarin Ventures\n+7']
Analog,['Undisclosed\n12 Feb 2024\nValuation\n$ 120M\nRaised\n$ 16.00M\nInvestors:\nTribe Capital\nLead\nBalaji Srinivasan\nWintermute\nQuantstamp\n+6']
Hydro-Protocol-Fi,['Undisclosed\n12 Feb 2024\nRaised\nN/A\nInvestors:\nQuantstamp\nSkyVision Capital\nExNetwork Capital\nCSP DAO\n+9']
Intentx,"['Strategic\n12 Feb 2024\nRaised\n$ 1.80M\nInvestors:\nSelini Capital\nLead\nMirana Ventures\nKronos\nMantle\n+2', 'Seed\n21 Nov 2023\nRaised\n$ 2.50M\nInvestors:\nMagnus Capital\nLead\nContango Digital Assets\nCoral DeFi\nCastle Capital\n+3']"
Ginger-Joy,['Pre-Seed\n9 Feb 2024\nRaised\n$ 1.26M\nInvestors:\nN/A']
Zeus-Network,"['Undisclosed\n3 Apr 2024\nValuation\n$ 100M\nRaised\n$ 8.00M\nInvestors:\nMechanism Capital\nLead\nThe Spartan Group\nAnimoca Brands\nOKX Ventures\n+2', 'Angel\n9 Feb 2024\nRaised\nN/A\nInvestors:\nAnatoly Yakovenko\nAndrew Kang\nMuneeb Ali']"
The-Mystery-Society,['Seed\n9 Feb 2024\nRaised\n$ 3.00M\nInvestors:\nShima Capital\nLead\nSfermion\nPolygon Studios\nGSR\n+5']
Unisat,"['Strategic\n11 Mar 2024\nRaised\nN/A\nInvestors:\nCGV FoF', 'Pre-Series A\n9 Feb 2024\nRaised\nN/A\nInvestors:\nOKX Ventures\nABCDE\nVitalbridge Capital', 'Strategic\n30 Nov 2023\nRaised\nN/A\nInvestors:\nLK Venture']"
Pixels,"['Strategic\n9 Feb 2024\nRaised\n$ 4.80M\nInvestors:\nFenbushi Capital\nFramework Ventures\nMechanism Capital\nYield Guild Games (YGG)\n+12', 'Seed\n3 Feb 2022\nRaised\n$ 2.40M\nInvestors:\nAnimoca Brands\nLead\nPKO Investments\nLead\nOpenSea Ventures\nLeonis Capital\n+1']"
Truflation,"['Undisclosed\n9 Feb 2024\nRaised\n$ 6.00M\nInvestors:\nLaser Digital\nLead\nRed Beard Ventures\nLead\nC² Ventures\nFundamental Labs\n+4', 'Undisclosed\n7 Sep 2023\nRaised\nN/A\nInvestors:\nBase Ecosystem Fund']"
Dtravel,"['Undisclosed\n8 Feb 2024\nRaised\nN/A\nInvestors:\nBorderless Capital', 'Seed\n16 Jun 2021\nRaised\n$ 5.00M\nInvestors:\nShima Capital\nLD Capital\nGBV Capital\nKenetic Capital\n+5']"
Coala-Pay,['Pre-Seed\n8 Feb 2024\nRaised\n$ 815.00K\nInvestors:\nLattice\nThe Batchery\nFactor Capital\nCV Labs']
Yogapetz,['Undisclosed\n8 Feb 2024\nRaised\n$ 5.00M\nInvestors:\nAnimoca Brands\nSoul Capital\nNewman Capital']
Fuzzland,['Seed\n8 Feb 2024\nRaised\n$ 3.00M\nInvestors:\nHashKey Capital\n1kx\nSNZ Holding\nPanga Ventures']
Dextools,['Seed\n8 Feb 2024\nRaised\nN/A\nInvestors:\nOKX Ventures']
Flood,['Seed\n8 Feb 2024\nRaised\n$ 5.20M\nInvestors:\nBain Capital Crypto\nLead\nArchetype Ventures\nLead\nRobot Ventures']
Superform,['Seed\n8 Feb 2024\nRaised\n$ 6.50M\nInvestors:\nPolychain Capital\nLead\nCircle\nMaven 11 Capital\nArthur Hayes\n+5']
Omega,['Undisclosed\n7 Feb 2024\nRaised\n$ 6.00M\nInvestors:\nBlockchain.com\nBorderless Capital\nMH Ventures\nBlockchain Founders Fund\n+17']
Ponchiqs,['Undisclosed\n6 Feb 2024\nRaised\nN/A\nInvestors:\nStartgate.com\nLead']
Ln-Markets,"['Seed\n6 Feb 2024\nRaised\nN/A\nInvestors:\nLemniscap', 'Pre-Seed\n8 Sep 2020\nRaised\nN/A\nInvestors:\nBitfinex\nArcane Crypto\nFulgur Ventures']"
Folks-Finance,"['Strategic\n6 Feb 2024\nRaised\nN/A\nInvestors:\nAlgorand Foundation', 'Seed\n20 Jan 2022\nRaised\n$ 3.00M\nInvestors:\nBorderless Capital\nLead\nCoinbase Ventures\nOKX Ventures\nParaFi Capital\n+12']"
Lightlink,"['Extended Seed\n4 Apr 2024\nRaised\n$ 1.70M\nInvestors:\nMH Ventures\nNxGen\nEric Cryptoman\nAnbessa\n+4', 'Seed\n6 Feb 2024\nRaised\n$ 4.50M\nInvestors:\nT&B Media Global\nJellyC\nBlock 3 Ventures\nAweh Ventures\n+2']"
Glif,['Seed\n6 Feb 2024\nRaised\n$ 4.50M\nInvestors:\nMultichain Capital\nLead\nFenbushi Capital\nBig Brain Holdings\nProtocol Labs\n+4']
Clearpool,"['Grant\n6 Feb 2024\nRaised\n$ 150.00K\nInvestors:\nMantle', 'Seed\n27 Sep 2021\nRaised\n$ 3.00M\nInvestors:\nHashKey Capital\nSequoia Capital\nGBV Capital\nArrington XRP Capital\n+8']"
Gigastar,"['Undisclosed\n6 Feb 2024\nRaised\n$ 3.00M\nInvestors:\nDV Chain\nBelvedere Trading\nNameless Ventures\nMetropolitan Capital\n+1', 'Seed\n16 Mar 2023\nRaised\n$ 4.80M\nInvestors:\nDV Chain\nBelvedere Trading\nNameless Ventures\nTomsic Holdings']"
Debox,"['Strategic\n8 Mar 2024\nRaised\nN/A\nInvestors:\nOKX Ventures', 'Undisclosed\n6 Feb 2024\nRaised\nN/A\nInvestors:\nBitrise Capital', 'Strategic\n19 Jan 2024\nRaised\nN/A\nInvestors:\nDWF Labs', 'Strategic\n9 Jan 2023\nRaised\n$ 2.00M\nInvestors:\nABCDE\nLead', 'Seed\n28 Jul 2022\nRaised\nN/A\nInvestors:\nTokenPocket\nLead']"
Startale-Labs,"['Series A\n6 Feb 2024\nValuation\n$ 63.5M\nRaised\n$ 3.50M\nInvestors:\nSamsungNext\nSignum Capital\nSony Network Communications', 'Undisclosed\n28 Jun 2023\nRaised\n$ 3.50M\nInvestors:\nSony Network Communications']"
Lends,['Undisclosed\n5 Feb 2024\nRaised\nN/A\nInvestors:\nMaven Capital\nDewhales\nApe Terminal\nCogitent Ventures\n+16']
Carry-1St,[]
Kodiakfi,[]
Oobit,['Series A\n5 Feb 2024\nRaised\n$ 25.00M\nInvestors:\nTether\nCMCC Global\n468 Capital\nAnatoly Yakovenko']
